cu_num,M,N,K,kernelId,splitK,us,kernelName
304,288,7168,2048,2146,0,25.245,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x2_intrawave_v1
304,288,7168,16384,4525,1,152.3186,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x16x1x16_4_1x1_intrawave_v3
304,288,24576,1536,7388,2,50.6424,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v3
304,320,128,512,234,2,4.0457,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,320,256,7168,234,2,12.6671,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,320,512,128,130,1,3.5413,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,320,2112,7168,2131,1,28.866,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x4_intrawave_v1
304,320,4096,7168,3289,3,65.2379,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x8_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,320,7168,2048,2518,2,25.1602,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_2x2_intrawave_v1
304,320,7168,16384,3289,1,161.8861,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x8_16x16_8x32x1_8x32x1_1x32x1x8_4_1x2_intrawave_v3
304,320,24576,1536,7388,2,51.7569,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v3
304,352,128,512,234,1,3.4058,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,352,256,7168,234,2,12.5141,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,352,512,128,130,0,2.973,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_4_1x1_intrawave_v1
304,352,2112,7168,3204,2,31.5926,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
304,352,4096,7168,6774,2,62.5053,a8w8_blockscale_bruteforce_1x128x128_256x128x64x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x2_intrawave_v3
304,352,7168,2048,3273,1,32.0083,a8w8_blockscale_bruteforce_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_4_1x4_intrawave_v3
304,352,7168,16384,3214,2,192.1829,a8w8_blockscale_bruteforce_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
304,352,24576,1536,7388,3,53.4955,a8w8_blockscale_bruteforce_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_1x4_intrawave_v3
304,384,128,512,195,1,4.007,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_16x16x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
304,384,256,7168,234,2,12.7816,a8w8_blockscale_bruteforce_1x128x128_256x32x32x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_4_1x1_intrawave_v1
304,384,512,128,144,2,3.617,a8w8_blockscale_bruteforce_1x128x128_256x32x32x128_8x8_16x16_8x32x1_16x16x1_1x32x1x8_4_1x1_intrawave_v1
